TYPE_OF_TRAVELLER,RATING_BAND,REVIEW_COUNT,PERCENT_SHARE,AVG_RATING_TRAVELLER
Business,bad,341,83.37,1.46
Business,good,17,4.16,1.46
Business,medium,51,12.47,1.46
Couple Leisure,bad,932,81.47,1.56
Couple Leisure,good,89,7.78,1.56
Couple Leisure,medium,123,10.75,1.56
Family Leisure,bad,1166,81.08,1.61
Family Leisure,good,144,10.01,1.61
Family Leisure,medium,128,8.9,1.61
Solo Leisure,Unknown,1,0.07,1.59
Solo Leisure,bad,1185,79.8,1.59
Solo Leisure,good,123,8.28,1.59
Solo Leisure,medium,176,11.85,1.59
Unknown,bad,141,72.31,1.77
Unknown,good,8,4.1,1.77
Unknown,medium,46,23.59,1.77
