REVIEW_YEAR,RATING_TYPE,AVG_RATING,REVIEW_COUNT
2015,CABIN_STAFF_SERVICE,2.17,600
2015,SEAT_COMFORT,1.82,600
2015,FOOD_AND_BEVERAGES,1.51,348
2015,INFLIGHT_ENTERTAINMENT,1.21,282
2015,WIFI_AND_CONNECTIVITY,1.12,72
2016,CABIN_STAFF_SERVICE,2.25,393
2016,SEAT_COMFORT,1.75,393
2016,FOOD_AND_BEVERAGES,1.63,177
2016,INFLIGHT_ENTERTAINMENT,1.19,97
2016,WIFI_AND_CONNECTIVITY,1.15,86
2017,CABIN_STAFF_SERVICE,2.06,408
2017,SEAT_COMFORT,1.67,408
2017,FOOD_AND_BEVERAGES,1.54,177
2017,INFLIGHT_ENTERTAINMENT,1.2,128
2017,WIFI_AND_CONNECTIVITY,1.14,113
2018,CABIN_STAFF_SERVICE,1.95,524
2018,SEAT_COMFORT,1.56,524
2018,FOOD_AND_BEVERAGES,1.38,288
2018,INFLIGHT_ENTERTAINMENT,1.04,190
2018,WIFI_AND_CONNECTIVITY,1.03,176
2019,CABIN_STAFF_SERVICE,1.9,548
2019,SEAT_COMFORT,1.52,549
2019,FOOD_AND_BEVERAGES,1.36,275
2019,INFLIGHT_ENTERTAINMENT,1.07,203
2019,WIFI_AND_CONNECTIVITY,1.06,200
2020,CABIN_STAFF_SERVICE,2.19,144
2020,SEAT_COMFORT,1.79,146
2020,FOOD_AND_BEVERAGES,1.46,69
2020,INFLIGHT_ENTERTAINMENT,1.18,45
2020,WIFI_AND_CONNECTIVITY,1.16,37
2021,CABIN_STAFF_SERVICE,1.79,430
2021,SEAT_COMFORT,1.39,431
2021,FOOD_AND_BEVERAGES,1.21,233
2021,INFLIGHT_ENTERTAINMENT,1.05,196
2021,WIFI_AND_CONNECTIVITY,1.08,200
2022,CABIN_STAFF_SERVICE,1.71,584
2022,SEAT_COMFORT,1.41,593
2022,FOOD_AND_BEVERAGES,1.22,328
2022,INFLIGHT_ENTERTAINMENT,1.1,290
2022,WIFI_AND_CONNECTIVITY,1.2,313
2023,CABIN_STAFF_SERVICE,1.77,471
2023,SEAT_COMFORT,1.4,475
2023,FOOD_AND_BEVERAGES,1.17,267
2023,INFLIGHT_ENTERTAINMENT,1.06,229
2023,WIFI_AND_CONNECTIVITY,1.13,247
2024,CABIN_STAFF_SERVICE,1.86,132
2024,SEAT_COMFORT,1.49,136
2024,FOOD_AND_BEVERAGES,1.34,74
2024,INFLIGHT_ENTERTAINMENT,1.07,70
2024,WIFI_AND_CONNECTIVITY,1.22,72
2025,CABIN_STAFF_SERVICE,1.76,34
2025,SEAT_COMFORT,1.94,35
2025,FOOD_AND_BEVERAGES,1.52,25
2025,INFLIGHT_ENTERTAINMENT,1.0,17
2025,WIFI_AND_CONNECTIVITY,1.55,22
